iter	Passed	Remaining
389	1147	1795
390	1149	1790
391	1151	1785
392	1153	1781
393	1155	1776
394	1158	1773
395	1160	1769
396	1162	1765
397	1164	1761
398	1170	1762
399	1173	1759
400	1176	1757
401	1178	1753
402	1180	1748
403	1182	1744
404	1185	1741
405	1189	1740
406	1192	1736
407	1194	1732
408	1196	1729
409	1243	1788
410	1246	1786
411	1248	1781
412	1250	1777
413	1258	1781
414	1260	1776
415	1265	1776
416	1270	1775
417	1297	1807
418	1300	1803
419	1303	1800
420	1306	1796
421	1308	1791
422	1309	1786
423	1311	1782
424	1314	1778
425	1316	1774
426	1319	1770
427	1323	1769
428	1330	1771
429	1334	1768
430	1337	1766
431	1340	1762
432	1341	1757
433	1343	1752
434	1347	1749
435	1352	1749
436	1355	1746
437	1357	1742
438	1361	1740
439	1363	1735
440	1365	1731
441	1367	1726
442	1370	1723
443	1372	1719
444	1377	1718
445	1380	1714
446	1381	1709
447	1383	1704
448	1416	1738
449	1419	1735
450	1422	1731
451	1425	1727
452	1427	1723
453	1429	1719
454	1431	1714
455	1432	1709
456	1434	1704
457	1436	1700
458	1439	1696
459	1441	1691
460	1444	1688
461	1445	1683
462	1448	1680
463	1452	1677
464	1454	1673
465	1457	1669
466	1459	1665
467	1461	1661
468	1463	1657
469	1465	1652
470	1468	1649
471	1471	1645
472	1472	1641
473	1474	1636
474	1476	1632
475	1480	1629
476	1483	1626
477	1486	1622
478	1487	1618
479	1489	1613
480	1491	1608
481	1493	1604
482	1494	1599
483	1498	1597
484	1500	1593
485	1502	1589
486	1504	1585
487	1506	1580
488	1511	1579
489	1514	1575
490	1516	1571
491	1518	1567
492	1519	1563
493	1523	1560
494	1525	1555
495	1528	1552
496	1530	1548
497	1533	1545
498	1535	1541
499	1543	1543
500	1546	1540
501	1548	1535
502	1550	1531
503	1551	1527
504	1553	1522
505	1556	1519
506	1558	1515
507	1560	1511
508	1562	1507
509	1564	1502
510	1566	1498
511	1568	1495
512	1572	1492
513	1574	1489
514	1576	1485
515	1578	1480
516	1580	1476
517	1582	1472
518	1584	1468
519	1589	1467
520	1591	1462
521	1592	1458
522	1594	1454
523	1597	1451
524	1602	1449
525	1606	1447
526	1607	1443
527	1609	1438
528	1611	1434
529	1612	1430
530	1615	1426
531	1618	1423
532	1620	1419
533	1623	1416
534	1624	1412
535	1627	1408
536	1631	1406
537	1633	1402
538	1635	1399
539	1637	1394
540	1639	1390
541	1641	1387
542	1643	1383
543	1647	1380
544	1651	1378
545	1652	1374
546	1654	1370
547	1657	1366
548	1660	1363
549	1662	1360
550	1664	1356
551	1667	1353
552	1669	1349
553	1671	1345
554	1674	1342
555	1679	1340
556	1680	1336
557	1683	1333
558	1686	1330
559	1691	1328
560	1693	1325
561	1695	1321
562	1698	1318
563	1699	1314
564	1701	1310
565	1705	1307
566	1709	1305
567	1710	1301
568	1713	1297
569	1716	1295
570	1720	1292
571	1722	1288
572	1724	1284
573	1725	1280
574	1727	1276
575	1729	1273
576	1734	1271
577	1740	1270
578	1743	1267
579	1748	1265
580	1752	1263
581	1754	1260
582	1757	1256
583	1758	1252
584	1760	1248
585	1769	1250
586	1771	1246
587	1780	1247
588	1784	1244
589	1786	1241
590	1788	1237
591	1790	1233
592	1797	1233
593	1801	1231
594	1802	1227
595	1806	1224
596	1808	1221
597	1811	1217
598	1814	1214
599	1816	1210
600	1818	1207
601	1819	1203
602	1821	1199
603	1823	1195
604	1826	1192
605	1827	1188
606	1829	1184
607	1831	1181
608	1834	1177
609	1837	1174
610	1840	1171
611	1843	1168
612	1844	1164
613	1846	1160
614	1847	1156
615	1849	1153
616	1851	1149
617	1854	1146
618	1856	1142
619	1858	1139
620	1860	1135
621	1862	1131
622	1864	1128
623	1868	1126
624	1871	1122
625	1873	1119
626	1876	1116
627	1880	1113
628	1883	1110
629	1888	1109
630	1890	1105
631	1891	1101
632	1895	1098
633	1898	1095
634	1900	1092
635	1903	1089
636	1908	1087
637	1910	1084
638	1914	1081
639	1918	1079
640	1936	1084
641	1939	1081
642	1942	1078
643	1945	1075
644	1948	1072
645	1954	1070
646	1956	1067
647	1961	1065
648	1965	1063
649	1968	1059
650	1969	1055
651	1971	1052
652	1981	1053
653	1983	1049
654	1985	1045
655	1988	1042
656	1995	1041
657	1997	1038
658	1999	1034
659	2001	1030
660	2002	1027
661	2004	1023
662	2010	1021
663	2011	1018
664	2013	1014
665	2016	1011
666	2020	1008
667	2025	1006
668	2027	1003
669	2029	999
670	2031	995
671	2032	992
672	2041	992
673	2043	988
674	2047	986
675	2052	983
676	2055	980
677	2057	976
678	2059	973
679	2061	969
680	2063	966
681	2070	965
682	2073	962
683	2074	958
684	2078	955
685	2084	954
686	2086	950
687	2089	947
688	2091	943
689	2093	940
690	2095	936
691	2098	934
692	2101	931
693	2103	927
694	2105	924
695	2108	920
696	2111	917
697	2113	914
698	2116	911
699	2118	907
700	2119	904
701	2121	900
702	2123	897
703	2127	894
704	2130	891
705	2133	888
706	2141	887
707	2145	884
708	2148	881
709	2149	878
710	2151	874
711	2153	870
712	2157	868
713	2160	865
714	2162	861
715	2164	858
716	2166	855
717	2169	852
718	2175	850
719	2177	846
720	2179	843
721	2182	840
722	2184	836
723	2185	833
724	2192	831
725	2194	828
726	2196	824
727	2200	822
728	2207	820
729	2209	817
730	2212	814
731	2214	810
732	2216	807
733	2221	805
734	2225	802
735	2227	798
736	2231	796
737	2234	793
738	2238	790
739	2240	787
740	2242	783
741	2243	780
742	2245	776
743	2248	773
744	2251	770
745	2253	767
746	2255	763
747	2257	760
748	2259	757
749	2267	755
750	2271	753
751	2273	749
752	2277	746
753	2282	744
754	2284	741
755	2286	738
756	2288	734
757	2293	732
758	2296	729
759	2300	726
760	2303	723
761	2306	720
762	2314	718
763	2317	715
764	2326	714
765	2330	711
766	2332	708
767	2334	705
768	2335	701
769	2338	698
770	2343	696
771	2345	692
772	2347	689
773	2349	685
774	2351	682
775	2356	680
776	2358	676
777	2360	673
778	2362	670
779	2363	666
780	2365	663
781	2367	660
782	2370	656
783	2371	653
784	2373	650
785	2375	646
786	2377	643
787	2380	640
788	2382	637
789	2384	633
790	2386	630
791	2388	627
792	2390	623
793	2392	620
794	2395	617
795	2396	614
796	2399	611
797	2401	607
798	2404	604
799	2405	601
800	2407	598
801	2410	595
802	2413	592
803	2416	589
804	2418	585
805	2419	582
806	2421	579
807	2423	575
808	2425	572
809	2427	569
810	2429	566
811	2433	563
812	2435	560
813	2437	556
814	2438	553
815	2440	550
816	2441	546
817	2443	543
818	2447	540
819	2450	537
820	2451	534
821	2453	531
822	2454	527
823	2456	524
824	2458	521
825	2460	518
826	2462	515
827	2465	512
828	2467	508
829	2469	505
830	2471	502
831	2474	499
832	2477	496
833	2479	493
834	2481	490
835	2482	487
836	2484	483
837	2486	480
838	2489	477
839	2491	474
840	2494	471
841	2497	468
842	2500	465
843	2505	463
844	2507	460
845	2510	456
846	2511	453
847	2513	450
848	2514	447
849	2517	444
850	2519	441
851	2521	438
852	2524	435
853	2526	431
854	2527	428
855	2530	425
856	2534	422
857	2536	419
858	2538	416
859	2540	413
860	2541	410
861	2543	407
862	2544	403
863	2546	400
864	2549	397
865	2551	394
866	2553	391
867	2554	388
868	2556	385
869	2558	382
870	2559	379
871	2561	376
872	2564	373
873	2566	370
874	2568	366
875	2569	363
876	2571	360
877	2573	357
878	2574	354
879	2577	351
880	2578	348
881	2580	345
882	2582	342
883	2584	339
884	2586	336
885	2588	333
886	2591	330
887	2593	327
888	2595	324
889	2597	321
890	2599	318
891	2601	314
892	2603	311
893	2606	309
894	2610	306
895	2612	303
896	2614	300
897	2616	297
898	2617	294
899	2620	291
900	2622	288
901	2624	285
902	2626	282
903	2627	279
904	2629	276
905	2630	272
906	2632	269
907	2634	266
908	2636	263
909	2638	260
910	2640	257
911	2641	254
912	2643	251
913	2645	248
914	2646	245
915	2648	242
916	2650	239
917	2652	236
918	2654	233
919	2656	230
920	2657	227
921	2659	224
922	2660	221
923	2662	218
924	2665	216
925	2667	213
926	2669	210
927	2672	207
928	2674	204
929	2677	201
930	2680	198
931	2682	195
932	2684	192
933	2686	189
934	2687	186
935	2689	183
936	2691	180
937	2692	177
938	2695	175
939	2698	172
940	2700	169
941	2702	166
942	2703	163
943	2705	160
944	2707	157
945	2709	154
946	2712	151
947	2714	148
948	2715	145
949	2717	143
950	2719	140
951	2721	137
952	2722	134
953	2725	131
954	2727	128
955	2729	125
956	2730	122
957	2732	119
958	2734	116
959	2735	113
960	2737	111
961	2741	108
962	2743	105
963	2744	102
964	2746	99
965	2747	96
966	2749	93
967	2750	90
968	2752	88
969	2754	85
970	2756	82
971	2758	79
972	2760	76
973	2762	73
974	2764	70
975	2766	68
976	2768	65
977	2770	62
978	2772	59
979	2773	56
980	2775	53
981	2777	50
982	2778	48
983	2780	45
984	2782	42
985	2785	39
986	2787	36
987	2789	33
988	2791	31
989	2792	28
990	2794	25
991	2796	22
992	2798	19
993	2800	16
994	2802	14
995	2803	11
996	2805	8
997	2807	5
998	2809	2
999	2811	0
